ticker,shares,entry_date,target_exit,est_entry,stop,tp,order_id,status,exit_date,exit_price,dollar_pnl
ODFL,44,2026-07-30,2026-08-04,224.5748,211.65,245.07,485,closed,2026-07-30,211.5703,-572.2
ODFL,46,2026-07-31,2026-08-05,216.11,205.3,237.72,561,pending_open,,,
