ticker,shares,entry_date,target_exit,est_entry,stop,order_id,status,exit_date,exit_price,dollar_pnl
CNP,248,2026-08-21,2026-08-28,40.3555,37.79,1119,closed_pending,,,
CNP,100,2026-08-12,2026-08-19,40.3509,37.77,865,closed,2026-08-20,41.53,117.91
CNP,231,2026-07-20,2026-07-27,43.5055,40.54,249,closed,2026-07-27,43.9318,98.48
CNP,226,2026-07-29,2026-08-05,44.7125,41.45,414,closed,2026-08-04,42.27,-552.0
